,latitude,longitude,azimuth,elevation
337,19.79454553,70.71851288,207.23,25.81
338,19.67809778,70.68973416,207.11,25.50
339,19.56164430,70.66098436,206.99,25.19
340,19.50341746,70.64662074,206.94,25.03
341,19.38696128,70.61791536,206.82,24.73
342,19.27050178,70.58923891,206.71,24.43
343,19.15403662,70.56059060,206.61,24.13
344,19.03757054,70.53197134,206.50,23.83
345,18.97933628,70.51767232,206.45,23.69
346,18.86286533,70.48909537,206.35,23.40
347,18.74638883,70.46054577,206.25,23.11
348,18.62991149,70.43202444,206.15,22.82
349,18.51343099,70.40353059,206.05,22.54
350,18.39694736,70.37506399,205.96,22.26
351,18.28046062,70.34662444,205.86,21.99
352,18.22221374,70.33241416,205.82,21.85
353,18.10572239,70.30401475,205.73,21.58
354,17.98922799,70.27564184,205.64,21.31
355,17.87273058,70.24729521,205.55,21.05
356,17.75622783,70.21897407,205.46,20.78
357,17.69797651,70.20482349,205.42,20.65
358,17.58147166,70.17654162,205.33,20.39
359,17.46496388,70.14828527,205.25,20.14
360,17.34845086,70.12005368,205.17,19.88
361,17.29019443,70.10594760,205.13,19.75
362,17.17367944,70.07775416,205.05,19.50
363,17.05716161,70.04958551,204.97,19.26
364,16.94063862,70.02144089,204.90,19.01
365,16.82411518,69.99332121,204.82,18.77
366,16.76585242,69.97927044,204.78,18.65
367,16.64932484,69.95118695,204.71,18.41
368,16.53279219,69.92312675,204.64,18.17
369,16.41625918,69.89509077,204.57,17.93
370,16.29972348,69.86707826,204.50,17.70
371,16.18318279,69.83908843,204.43,17.47
372,16.12491498,69.82510302,204.39,17.35
373,16.00837035,69.79714770,204.32,17.12
374,15.89182548,69.76921569,204.26,16.90
375,15.77527570,69.74130567,204.19,16.67
376,15.65872571,69.71341857,204.13,16.45
377,15.60044977,69.69948334,204.10,16.34
378,15.48389602,69.67162940,204.03,16.12
379,15.36733978,69.64379732,203.97,15.91
380,15.25077875,69.61598634,203.91,15.69
381,15.13421762,69.58819739,203.85,15.48
382,15.07593615,69.57431090,203.82,15.37
383,14.95937142,69.54655379,203.76,15.16
384,14.84280197,69.51881710,203.70,14.95
385,14.72623252,69.49110177,203.64,14.74
386,14.66794693,69.47725183,203.62,14.64
387,14.55137400,69.44956732,203.56,14.43
388,14.43479644,69.42190257,203.50,14.23
389,14.31821896,69.39425850,203.45,14.03
390,14.20163924,69.36663436,203.40,13.83
391,14.08505731,69.33902997,203.34,13.63
