,latitude,longitude,azimuth,elevation
452,9.54246750,65.09575243,204.53,4.77
453,9.42581331,65.06878940,204.48,4.63
454,9.36748576,65.05531260,204.46,4.56
455,9.25082975,65.02836832,204.42,4.42
456,9.19250129,65.01490081,204.40,4.35
457,9.07584351,64.98797494,204.36,4.21
458,8.95918223,64.96106057,204.32,4.08
459,8.90085233,64.94760813,204.30,4.01
460,8.78419171,64.92071209,204.26,3.88
461,8.66752999,64.89382769,204.22,3.74
462,8.60919638,64.88038927,204.21,3.67
463,8.49253306,64.85352204,204.17,3.54
464,8.37586871,64.82666604,204.13,3.41
465,8.31753615,64.81324221,204.11,3.34
466,8.20086793,64.78640224,204.07,3.21
467,8.08420107,64.75957364,204.04,3.08
468,8.02586729,64.74616336,204.02,3.01
469,7.90919901,64.71935071,203.98,2.88
470,7.79252745,64.69254796,203.94,2.75
471,7.73419251,64.67915072,203.93,2.68
472,7.61752196,64.65236386,203.89,2.56
473,7.50085054,64.62558703,203.85,2.43
474,7.44251452,64.61220233,203.84,2.36
475,7.32583950,64.58543972,203.80,2.23
476,7.20916601,64.55868729,203.77,2.11
477,7.15082897,64.54531463,203.75,2.04
478,7.03415431,64.51857636,203.72,1.92
479,6.91747890,64.49184732,203.68,1.79
480,6.85913857,64.47848568,203.66,1.73
481,6.74246207,64.45177021,203.63,1.60
482,6.62578487,64.42506358,203.60,1.48
483,6.56744366,64.41171300,203.58,1.42
484,6.45076546,64.38501936,203.55,1.29
485,6.33408662,64.35833416,203.52,1.17
486,6.27574696,64.34499469,203.50,1.11
487,6.15906720,64.31832189,203.47,0.99
488,6.04238450,64.29165661,203.44,0.86
489,5.98404411,64.27832722,203.42,0.80
490,5.86736293,64.25167429,203.39,0.68
491,5.75068122,64.22502903,203.36,0.56
492,5.69234017,64.21170924,203.34,0.50
493,5.57565536,64.18507467,203.31,0.38
494,5.45897243,64.15844793,203.28,0.26
495,5.40063079,64.14513724,203.26,0.20
496,5.28394719,64.11852115,203.23,0.08
497,5.16726082,64.09191142,203.20,-0.04
498,5.10891867,64.07860936,203.19,-0.10
499,4.99223407,64.05201024,203.16,-0.21
500,4.87554911,64.02541763,203.13,-0.33
501,4.81720415,64.01212319,203.12,-0.39
502,4.70051869,63.98554008,203.09,-0.51
503,4.58383293,63.95896311,203.06,-0.62
504,4.52548994,63.94567687,203.04,-0.68
505,4.40880142,63.91910828,203.01,-0.80
506,4.29211500,63.89254598,202.99,-0.91
507,4.23377170,63.87926694,202.97,-0.97
508,4.11708494,63.85271299,202.94,-1.08
509,4.00039800,63.82616442,202.92,-1.20
510,3.94205446,63.81289210,202.90,-1.26
511,3.82536492,63.78635077,202.88,-1.37
512,3.70867759,63.75981497,202.85,-1.48
513,3.65033388,63.74654890,202.83,-1.54
